Date,Open,High,Low,Close,Adj Close,Volume
2005-11-10,61.020000,61.599998,60.590000,61.410000,37.468609,6115400
2005-11-11,61.250000,61.389999,60.919998,60.919998,37.169636,5902300
2005-11-14,61.070000,61.119999,60.430000,60.509998,36.919479,8901900
2005-11-15,62.090000,63.500000,61.849998,62.830002,38.335011,37611100
2005-11-16,63.779999,63.779999,62.650002,63.250000,38.591267,15168600
2005-11-17,63.619999,63.660000,63.070000,63.340000,38.646183,10596300
2005-11-18,63.750000,63.770000,62.340000,62.549999,38.364044,11696000
2005-11-21,62.549999,62.549999,61.700001,61.990002,38.020596,11069200
2005-11-22,61.720001,61.799999,61.150002,61.610001,37.787521,10625600
2005-11-23,61.450001,61.840000,61.299999,61.669998,37.824314,7681900
2005-11-25,62.099998,62.340000,61.950001,62.150002,38.118702,5094100
2005-11-28,62.750000,62.950001,62.200001,62.400002,38.272045,12698500
2005-11-29,62.799999,62.810001,61.959999,62.000000,38.026707,8675700
2005-11-30,62.000000,62.630001,61.720001,61.750000,37.873375,7696000
2005-12-01,61.849998,62.060001,61.630001,61.689999,37.836582,6963600
2005-12-02,61.610001,61.799999,61.200001,61.209999,37.542160,6818000
2005-12-05,61.599998,62.000000,60.730000,61.049999,37.444046,21946800
2005-12-06,61.250000,61.250000,60.400002,60.470001,37.088303,14823200
2005-12-07,60.389999,60.450001,59.759998,60.040001,36.824570,14538400
2005-12-08,60.040001,60.750000,59.869999,60.080002,36.849106,10415400
2005-12-09,60.000000,60.349998,59.980000,60.099998,36.861382,8127100
2005-12-12,60.150002,60.259998,60.009998,60.150002,36.892040,7960900
2005-12-13,60.130001,60.500000,59.990002,60.250000,36.953384,12785500
2005-12-14,60.400002,60.480000,60.060001,60.110001,36.867504,10199000
2005-12-15,60.150002,60.349998,60.000000,60.160000,36.898174,6942500
2005-12-16,60.330002,61.349998,60.189999,60.860001,37.327507,13197200
2005-12-19,61.549999,62.000000,61.099998,61.189999,37.529896,10639100
2005-12-20,60.919998,61.189999,60.669998,60.779999,37.278454,6946700
2005-12-21,60.980000,61.200001,60.700001,60.880001,37.339783,6282100
2005-12-22,60.959999,61.320000,60.560001,61.320000,37.609638,5179100
2005-12-23,61.299999,61.509998,61.009998,61.110001,37.480850,3591100
2005-12-27,61.119999,61.200001,60.270000,60.299999,36.984055,6324400
2005-12-28,60.299999,60.660000,60.299999,60.419998,37.057648,5603100
